Date,Time,Meal_Time,Student_ID,Item,Quantity,Actual_Item_Price,Price,Total_Amount,Payment_Mode,Weather,Rating,Taste,DayOfWeek
15-09-2025,17:10,Evening Snacks,93,Poori,1,45,45,45,Cash,Rainy,3.9,Good,Monday
15-09-2025,13:09,Lunch,94,Idly,1,40,40,40,UPI,Cloudy,5,Excellent,Monday
15-09-2025,19:00,Evening Snacks,38,Bisibele Bath,1,50,50,50,UPI,Cloudy,3.7,Good,Monday
15-09-2025,16:44,Evening Snacks,48,Pani Puri,1,45,45,45,UPI,Rainy,3.7,Good,Monday
15-09-2025,16:04,Evening Snacks,43,Tea,1,50,50,50,Cash,Rainy,4,Good,Monday
15-09-2025,18:59,Evening Snacks,5,Bhel Puri,1,30,30,30,UPI,Rainy,4.5,Excellent,Monday
15-09-2025,17:14,Evening Snacks,27,Upma,1,30,30,30,Card,Cloudy,4.9,Excellent,Monday
15-09-2025,17:49,Evening Snacks,51,Samosa,1,15,15,15,Cash,Cloudy,4.3,Very Good,Monday
15-09-2025,12:18,Lunch,92,Bisibele Bath,1,40,40,40,UPI,Windy,3.5,Average,Monday
15-09-2025,15:59,Evening Snacks,70,French Fries,1,30,30,30,UPI,Cloudy,4.8,Excellent,Monday
15-09-2025,15:25,Evening Snacks,64,Pani Puri,1,15,15,15,UPI,Sunny,4,Good,Monday
15-09-2025,13:22,Lunch,53,Ice Cream,1,15,15,15,UPI,Sunny,3.7,Good,Monday
15-09-2025,17:21,Evening Snacks,50,Sandwich,1,45,45,45,UPI,Sunny,3.6,Average,Monday
15-09-2025,16:04,Evening Snacks,2,Pani Puri,3,45,45,135,UPI,Cloudy,4.3,Very Good,Monday
15-09-2025,17:53,Evening Snacks,76,Coffee,1,15,15,15,UPI,Rainy,4.1,Good,Monday
15-09-2025,12:53,Lunch,68,Dosa,3,70,70,210,UPI,Sunny,4.1,Good,Monday
15-09-2025,12:48,Lunch,34,Dosa,2,90,90,180,Cash,Sunny,4.5,Excellent,Monday
15-09-2025,13:16,Lunch,1,Tea,3,12,12,36,UPI,Sunny,3.7,Good,Monday
15-09-2025,18:40,Evening Snacks,18,Sandwich,3,15,15,45,UPI,Sunny,4.5,Excellent,Monday
15-09-2025,09:17,Breakfast,82,Coffee,2,50,50,100,Card,Sunny,3.8,Good,Monday
15-09-2025,15:13,Evening Snacks,51,French Fries,1,50,50,50,UPI,Sunny,4.9,Excellent,Monday
15-09-2025,16:47,Evening Snacks,25,Bhel Puri,2,15,15,30,UPI,Rainy,4.2,Very Good,Monday
15-09-2025,17:40,Evening Snacks,19,Samosa,3,15,15,45,UPI,Rainy,3.6,Average,Monday
15-09-2025,12:35,Lunch,12,Ice Cream,1,50,50,50,UPI,Sunny,3.2,Average,Monday
15-09-2025,19:58,Evening Snacks,53,Dosa,3,40,40,120,Card,Cloudy,4.3,Very Good,Monday
15-09-2025,08:46,Breakfast,31,Idly,1,45,45,45,UPI,Cloudy,3.9,Good,Monday
15-09-2025,18:49,Evening Snacks,67,Coffee,1,15,15,15,Cash,Cloudy,3.9,Good,Monday
15-09-2025,09:35,Breakfast,6,Tea,1,90,90,90,UPI,Rainy,4.3,Very Good,Monday
15-09-2025,17:14,Evening Snacks,78,Bisibele Bath,2,50,50,100,UPI,Rainy,4.4,Very Good,Monday
15-09-2025,17:06,Evening Snacks,10,Dosa,2,40,40,80,UPI,Cloudy,4.5,Excellent,Monday
15-09-2025,17:54,Evening Snacks,33,Tea,1,12,12,12,UPI,Rainy,3.5,Average,Monday
15-09-2025,13:44,Lunch,56,Fried Rice,1,35,35,35,UPI,Sunny,4.6,Excellent,Monday
15-09-2025,09:20,Breakfast,83,Dosa,2,90,90,180,UPI,Sunny,3.8,Good,Monday
15-09-2025,16:07,Evening Snacks,15,French Fries,1,50,50,50,UPI,Cloudy,3.1,Average,Monday
15-09-2025,13:10,Lunch,100,Juice,2,50,50,100,UPI,Sunny,3.5,Average,Monday
15-09-2025,12:30,Lunch,95,Tea,3,30,30,90,UPI,Sunny,4.1,Good,Monday
15-09-2025,12:05,Lunch,79,Coffee,1,30,30,30,Cash,Sunny,3.6,Average,Monday
15-09-2025,12:13,Lunch,78,Dosa,1,50,50,50,UPI,Cloudy,4,Good,Monday
15-09-2025,16:12,Evening Snacks,74,Juice,1,50,50,50,UPI,Rainy,4.1,Good,Monday
15-09-2025,18:55,Evening Snacks,52,Samosa,1,15,15,15,Card,Cloudy,3.9,Good,Monday
15-09-2025,16:13,Evening Snacks,49,Bhel Puri,3,45,45,135,Card,Cloudy,3.8,Good,Monday
15-09-2025,16:46,Evening Snacks,38,Tea,3,25,25,75,UPI,Sunny,3.5,Average,Monday
15-09-2025,15:46,Evening Snacks,32,Tea,3,50,50,150,UPI,Sunny,4,Good,Monday
15-09-2025,12:13,Lunch,40,Juice,2,25,25,50,UPI,Sunny,3.2,Average,Monday
15-09-2025,16:49,Evening Snacks,14,Juice,1,12,12,12,UPI,Rainy,3.7,Good,Monday
15-09-2025,17:57,Evening Snacks,52,Sandwich,2,45,45,90,UPI,Cloudy,3.6,Average,Monday
15-09-2025,17:00,Evening Snacks,72,Tea,1,90,90,90,UPI,Rainy,3.9,Good,Monday
15-09-2025,13:21,Lunch,4,Dosa,2,90,90,180,Cash,Sunny,3.9,Good,Monday
15-09-2025,13:35,Lunch,67,Fried Rice,1,50,50,50,UPI,Sunny,4.4,Very Good,Monday
15-09-2025,13:25,Lunch,84,South Indian Thali,1,15,15,15,UPI,Cloudy,4.6,Excellent,Monday
15-09-2025,19:13,Evening Snacks,97,Pani Puri,3,25,25,75,UPI,Rainy,3.6,Average,Monday
15-09-2025,18:12,Evening Snacks,85,Coffee,2,40,40,80,UPI,Rainy,4.8,Excellent,Monday
15-09-2025,19:57,Evening Snacks,19,Bisibele Bath,3,50,50,150,UPI,Cloudy,3.7,Good,Monday
15-09-2025,15:45,Evening Snacks,85,Ice Cream,2,30,30,60,UPI,Sunny,4.1,Good,Monday
15-09-2025,09:10,Breakfast,53,Idly,1,15,15,15,Cash,Cloudy,4.2,Very Good,Monday
15-09-2025,09:46,Breakfast,55,Bisibele Bath,2,25,25,50,UPI,Cloudy,5,Excellent,Monday
15-09-2025,19:55,Evening Snacks,41,Sandwich,3,45,45,135,UPI,Rainy,3.8,Good,Monday
15-09-2025,13:58,Lunch,100,Chapati,1,40,40,40,UPI,Windy,3.3,Average,Monday
15-09-2025,12:19,Lunch,66,Fried Rice,1,15,15,15,UPI,Sunny,4.6,Excellent,Monday
16-09-2025,15:05,Evening Snacks,62,Bhel Puri,1,25,25,25,Card,Windy,3.7,Good,Tuesday
16-09-2025,12:00,Lunch,77,Bisibele Bath,2,30,30,60,UPI,Cloudy,3.9,Good,Tuesday
16-09-2025,18:39,Evening Snacks,98,Coffee,1,15,15,15,UPI,Rainy,3.6,Average,Tuesday
16-09-2025,15:09,Evening Snacks,43,French Fries,3,25,25,75,UPI,Sunny,3.9,Good,Tuesday
16-09-2025,08:08,Breakfast,83,Poori,2,80,80,160,UPI,Cloudy,3.7,Good,Tuesday
16-09-2025,09:20,Breakfast,7,Dosa,1,25,25,25,UPI,Windy,4.3,Very Good,Tuesday
16-09-2025,12:22,Lunch,75,Idly,1,25,25,25,UPI,Windy,4,Good,Tuesday
16-09-2025,16:20,Evening Snacks,29,Tea,1,25,25,25,Cash,Rainy,3.7,Good,Tuesday
16-09-2025,12:02,Lunch,37,Sandwich,2,90,90,180,UPI,Sunny,4.4,Very Good,Tuesday
16-09-2025,13:31,Lunch,98,Bisibele Bath,2,40,40,80,UPI,Sunny,4.1,Good,Tuesday
16-09-2025,19:32,Evening Snacks,12,Bisibele Bath,3,50,50,150,Card,Rainy,3.3,Average,Tuesday
16-09-2025,19:40,Evening Snacks,21,Sandwich,1,40,40,40,UPI,Sunny,4.4,Very Good,Tuesday
16-09-2025,19:34,Evening Snacks,3,Sandwich,1,45,45,45,UPI,Rainy,4.1,Good,Tuesday
16-09-2025,19:52,Evening Snacks,26,Idly,1,25,25,25,UPI,Cloudy,4.6,Excellent,Tuesday
16-09-2025,15:11,Evening Snacks,46,Tea,1,12,12,12,Cash,Sunny,4,Good,Tuesday
16-09-2025,17:51,Evening Snacks,14,Juice,2,40,40,80,UPI,Sunny,3.7,Good,Tuesday
16-09-2025,15:10,Evening Snacks,87,Bhel Puri,1,25,25,25,UPI,Sunny,3.9,Good,Tuesday
16-09-2025,08:20,Breakfast,97,Idly,1,50,50,50,UPI,Cloudy,4.3,Very Good,Tuesday
16-09-2025,13:05,Lunch,64,Veg Biryani,2,50,50,100,UPI,Cloudy,3.7,Good,Tuesday
16-09-2025,15:44,Evening Snacks,58,Ice Cream,1,40,40,40,UPI,Sunny,3.8,Good,Tuesday
16-09-2025,19:19,Evening Snacks,7,Bisibele Bath,3,50,50,150,Cash,Cloudy,3.9,Good,Tuesday
16-09-2025,19:28,Evening Snacks,38,Idly,2,25,25,50,UPI,Sunny,3.5,Average,Tuesday
16-09-2025,09:44,Breakfast,7,Idly,1,90,90,90,UPI,Sunny,3.7,Good,Tuesday
16-09-2025,16:27,Evening Snacks,61,Pani Puri,2,50,50,100,UPI,Cloudy,4.1,Good,Tuesday
16-09-2025,08:18,Breakfast,86,Coffee,2,45,45,90,UPI,Sunny,4.5,Excellent,Tuesday
16-09-2025,12:23,Lunch,82,Idly,1,25,25,25,UPI,Sunny,4.1,Good,Tuesday
16-09-2025,19:30,Evening Snacks,34,Dosa,1,40,40,40,UPI,Rainy,4,Good,Tuesday
16-09-2025,18:47,Evening Snacks,95,Samosa,1,15,15,15,UPI,Rainy,3.7,Good,Tuesday
16-09-2025,19:55,Evening Snacks,30,Upma,2,30,30,60,UPI,Sunny,4.4,Very Good,Tuesday
16-09-2025,12:14,Lunch,88,North Indian Thali,3,35,35,105,UPI,Windy,4.2,Very Good,Tuesday
16-09-2025,12:43,Lunch,95,Dosa,2,15,15,30,UPI,Sunny,3.7,Good,Tuesday
16-09-2025,16:29,Evening Snacks,59,Bhel Puri,1,45,45,45,UPI,Cloudy,4.4,Very Good,Tuesday
16-09-2025,18:43,Evening Snacks,67,Ice Cream,1,30,30,30,Card,Sunny,4.2,Very Good,Tuesday
16-09-2025,17:03,Evening Snacks,70,Sandwich,2,45,45,90,UPI,Sunny,3.7,Good,Tuesday
16-09-2025,09:47,Breakfast,42,Dosa,1,40,40,40,Cash,Rainy,4,Good,Tuesday
16-09-2025,12:50,Lunch,2,Tea,1,30,30,30,Card,Cloudy,3.8,Good,Tuesday
16-09-2025,12:57,Lunch,73,Tea,2,30,30,60,UPI,Sunny,5,Excellent,Tuesday
16-09-2025,19:13,Evening Snacks,18,Idly,3,25,25,75,UPI,Rainy,4.2,Very Good,Tuesday
16-09-2025,15:58,Evening Snacks,72,Pani Puri,1,15,15,15,UPI,Windy,4.1,Good,Tuesday
16-09-2025,16:27,Evening Snacks,78,French Fries,3,30,30,90,UPI,Cloudy,4.2,Very Good,Tuesday
16-09-2025,13:09,Lunch,17,Idly,1,25,25,25,UPI,Windy,4.6,Excellent,Tuesday
16-09-2025,17:08,Evening Snacks,56,Pani Puri,3,25,25,75,Cash,Rainy,4,Good,Tuesday
16-09-2025,16:28,Evening Snacks,83,Coffee,1,35,35,35,UPI,Cloudy,3.8,Good,Tuesday
16-09-2025,13:17,Lunch,66,Sandwich,3,50,50,150,UPI,Sunny,4.3,Very Good,Tuesday
16-09-2025,16:22,Evening Snacks,81,Bhel Puri,2,30,30,60,UPI,Rainy,3.9,Good,Tuesday
16-09-2025,16:43,Evening Snacks,12,Sandwich,2,30,30,60,UPI,Rainy,3.6,Average,Tuesday
16-09-2025,18:00,Evening Snacks,26,South Indian Thali,2,90,90,180,UPI,Cloudy,3.5,Average,Tuesday
16-09-2025,19:48,Evening Snacks,58,Idly,3,25,25,75,UPI,Rainy,4.6,Excellent,Tuesday
16-09-2025,12:09,Lunch,64,Idly,2,25,25,50,UPI,Sunny,4.1,Good,Tuesday
16-09-2025,15:49,Evening Snacks,74,Juice,3,40,40,120,UPI,Sunny,3.8,Good,Tuesday
16-09-2025,16:31,Evening Snacks,41,Bhel Puri,1,50,50,50,UPI,Rainy,3.9,Good,Tuesday
16-09-2025,16:03,Evening Snacks,41,Pani Puri,3,50,50,150,Cash,Rainy,4.3,Very Good,Tuesday
16-09-2025,15:51,Evening Snacks,48,Bhel Puri,1,40,40,40,UPI,Cloudy,3.9,Good,Tuesday
16-09-2025,17:07,Evening Snacks,49,Sandwich,2,45,45,90,Cash,Sunny,3.4,Average,Tuesday
16-09-2025,16:27,Evening Snacks,87,Juice,3,15,15,45,UPI,Sunny,4.1,Good,Tuesday
16-09-2025,13:55,Lunch,48,Juice,3,40,40,120,UPI,Sunny,4.5,Excellent,Tuesday
16-09-2025,13:59,Lunch,51,Juice,2,45,45,90,UPI,Sunny,4.5,Excellent,Tuesday
16-09-2025,13:45,Lunch,82,North Indian Thali,1,15,15,15,UPI,Windy,3.8,Good,Tuesday
16-09-2025,15:17,Evening Snacks,35,Sandwich,3,80,80,240,UPI,Cloudy,4.5,Excellent,Tuesday
16-09-2025,17:56,Evening Snacks,14,Fried Rice,3,70,70,210,UPI,Rainy,4.1,Good,Tuesday
16-09-2025,12:33,Lunch,24,North Indian Thali,1,30,30,30,UPI,Sunny,4.5,Excellent,Tuesday
16-09-2025,19:03,Evening Snacks,50,Sandwich,1,40,40,40,UPI,Rainy,4.2,Very Good,Tuesday
16-09-2025,17:43,Evening Snacks,89,Tea,1,12,12,12,UPI,Cloudy,3.4,Average,Tuesday
16-09-2025,13:17,Lunch,29,South Indian Thali,1,30,30,30,UPI,Windy,4.7,Excellent,Tuesday
16-09-2025,09:30,Breakfast,83,Dosa,1,50,50,50,UPI,Cloudy,4,Good,Tuesday
16-09-2025,15:49,Evening Snacks,79,French Fries,1,15,15,15,UPI,Windy,4.2,Very Good,Tuesday
16-09-2025,19:54,Evening Snacks,1,French Fries,1,50,50,50,UPI,Cloudy,3.5,Average,Tuesday
16-09-2025,13:19,Lunch,74,North Indian Thali,3,30,30,90,UPI,Sunny,4.2,Very Good,Tuesday
16-09-2025,17:28,Evening Snacks,7,Samosa,1,15,15,15,UPI,Sunny,4.4,Very Good,Tuesday
16-09-2025,16:30,Evening Snacks,5,Pani Puri,1,15,15,15,UPI,Sunny,4.8,Excellent,Tuesday
16-09-2025,17:53,Evening Snacks,38,Bisibele Bath,1,50,50,50,UPI,Cloudy,4.6,Excellent,Tuesday
16-09-2025,09:45,Breakfast,94,Tea,1,30,30,30,UPI,Rainy,4.2,Very Good,Tuesday
16-09-2025,13:53,Lunch,94,Bisibele Bath,2,50,50,100,UPI,Sunny,3.4,Average,Tuesday
16-09-2025,09:42,Breakfast,6,Idly,1,90,90,90,UPI,Cloudy,4.1,Good,Tuesday
16-09-2025,18:08,Evening Snacks,37,Bhel Puri,1,30,30,30,Card,Rainy,3.8,Good,Tuesday
16-09-2025,17:09,Evening Snacks,79,Sandwich,1,40,40,40,UPI,Sunny,4.1,Good,Tuesday
16-09-2025,17:31,Evening Snacks,94,Ice Cream,1,15,15,15,UPI,Sunny,3.5,Average,Tuesday
16-09-2025,17:01,Evening Snacks,66,Bisibele Bath,1,50,50,50,UPI,Cloudy,3.9,Good,Tuesday
16-09-2025,16:38,Evening Snacks,43,Juice,1,45,45,45,UPI,Sunny,3.8,Good,Tuesday
16-09-2025,18:49,Evening Snacks,99,Idly,1,25,25,25,UPI,Cloudy,3.8,Good,Tuesday
17-09-2025,16:41,Evening Snacks,39,Sandwich,1,70,70,70,UPI,Sunny,3.8,Good,Wednesday
17-09-2025,13:30,Lunch,70,Sandwich,3,35,35,105,Cash,Sunny,3.9,Good,Wednesday
17-09-2025,13:15,Lunch,92,South Indian Thali,1,15,15,15,UPI,Sunny,4.1,Good,Wednesday
17-09-2025,13:04,Lunch,16,Tea,2,50,50,100,UPI,Sunny,3,Average,Wednesday
17-09-2025,18:49,Evening Snacks,6,Ice Cream,3,25,25,75,UPI,Sunny,3,Average,Wednesday
17-09-2025,12:39,Lunch,83,Fried Rice,3,25,25,75,UPI,Sunny,3.9,Good,Wednesday
17-09-2025,08:30,Breakfast,42,Coffee,1,25,25,25,UPI,Rainy,3.9,Good,Wednesday
17-09-2025,08:00,Breakfast,67,Chapati,1,50,50,50,UPI,Rainy,4.1,Good,Wednesday
17-09-2025,15:54,Evening Snacks,37,Juice,1,45,45,45,UPI,Sunny,3.7,Good,Wednesday
17-09-2025,13:06,Lunch,76,Coffee,2,25,25,50,UPI,Sunny,4,Good,Wednesday
17-09-2025,19:05,Evening Snacks,55,South Indian Thali,1,90,90,90,UPI,Rainy,4.1,Good,Wednesday
17-09-2025,18:52,Evening Snacks,96,Pani Puri,1,25,25,25,UPI,Cloudy,3.7,Good,Wednesday
17-09-2025,13:48,Lunch,48,Ice Cream,1,15,15,15,UPI,Sunny,4.4,Very Good,Wednesday
17-09-2025,12:08,Lunch,91,Idly,1,30,30,30,UPI,Sunny,4.1,Good,Wednesday
17-09-2025,17:27,Evening Snacks,17,Dosa,1,40,40,40,UPI,Rainy,4.2,Very Good,Wednesday
17-09-2025,16:52,Evening Snacks,12,Pani Puri,3,25,25,75,UPI,Rainy,4,Good,Wednesday
17-09-2025,12:01,Lunch,34,Sandwich,2,80,80,160,UPI,Sunny,4.8,Excellent,Wednesday
17-09-2025,13:31,Lunch,69,North Indian Thali,1,90,90,90,UPI,Sunny,4.2,Very Good,Wednesday
17-09-2025,18:43,Evening Snacks,24,Pani Puri,1,25,25,25,UPI,Rainy,3.8,Good,Wednesday
17-09-2025,15:41,Evening Snacks,72,Sandwich,1,45,45,45,Cash,Sunny,4.3,Very Good,Wednesday
17-09-2025,12:17,Lunch,5,Chapati,3,40,40,120,UPI,Sunny,3.3,Average,Wednesday
17-09-2025,12:11,Lunch,49,Bisibele Bath,2,50,50,100,Cash,Sunny,4,Good,Wednesday
17-09-2025,16:33,Evening Snacks,24,Bhel Puri,3,45,45,135,Cash,Rainy,4.1,Good,Wednesday
17-09-2025,12:15,Lunch,59,North Indian Thali,1,90,90,90,Cash,Cloudy,4.1,Good,Wednesday
17-09-2025,12:56,Lunch,73,Coffee,1,30,30,30,Cash,Windy,3.9,Good,Wednesday
17-09-2025,15:23,Evening Snacks,24,Juice,1,12,12,12,UPI,Windy,3.6,Average,Wednesday
17-09-2025,13:12,Lunch,22,Tea,2,30,30,60,UPI,Sunny,3.7,Good,Wednesday
17-09-2025,18:23,Evening Snacks,71,Pani Puri,1,25,25,25,UPI,Rainy,4,Good,Wednesday
17-09-2025,13:54,Lunch,90,Sandwich,3,50,50,150,UPI,Sunny,3.6,Average,Wednesday
17-09-2025,19:18,Evening Snacks,35,Bisibele Bath,1,50,50,50,UPI,Rainy,4.7,Excellent,Wednesday
17-09-2025,13:32,Lunch,29,Coffee,2,90,90,180,UPI,Cloudy,2.9,Average,Wednesday
17-09-2025,18:14,Evening Snacks,43,Tea,3,12,12,36,UPI,Rainy,3.9,Good,Wednesday
17-09-2025,19:27,Evening Snacks,24,Samosa,1,15,15,15,UPI,Sunny,4,Good,Wednesday
17-09-2025,16:48,Evening Snacks,23,Sandwich,3,25,25,75,UPI,Sunny,4.2,Very Good,Wednesday
17-09-2025,08:07,Breakfast,60,Idly,2,30,30,60,Card,Rainy,3.6,Average,Wednesday
17-09-2025,16:03,Evening Snacks,18,Tea,1,30,30,30,UPI,Rainy,4.5,Excellent,Wednesday
17-09-2025,19:12,Evening Snacks,87,Dosa,1,40,40,40,Card,Rainy,3.4,Average,Wednesday
17-09-2025,17:34,Evening Snacks,71,Juice,2,45,45,90,UPI,Sunny,3.8,Good,Wednesday
17-09-2025,13:53,Lunch,63,Veg Biryani,3,30,30,90,UPI,Sunny,4.2,Very Good,Wednesday
17-09-2025,19:55,Evening Snacks,73,Juice,1,35,35,35,UPI,Sunny,4.4,Very Good,Wednesday
17-09-2025,12:26,Lunch,86,Chapati,1,45,45,45,UPI,Cloudy,3.4,Average,Wednesday
17-09-2025,12:30,Lunch,97,Tea,1,80,80,80,Card,Cloudy,5,Excellent,Wednesday
17-09-2025,08:02,Breakfast,50,Coffee,1,15,15,15,Cash,Sunny,3.6,Average,Wednesday
17-09-2025,09:13,Breakfast,9,Tea,2,50,50,100,UPI,Windy,3.5,Average,Wednesday
17-09-2025,17:41,Evening Snacks,12,Juice,3,30,30,90,UPI,Rainy,4.2,Very Good,Wednesday
17-09-2025,19:44,Evening Snacks,96,Sandwich,3,45,45,135,UPI,Rainy,3.9,Good,Wednesday
17-09-2025,15:11,Evening Snacks,84,Juice,1,30,30,30,Cash,Sunny,3.8,Good,Wednesday
17-09-2025,15:07,Evening Snacks,74,Ice Cream,3,50,50,150,UPI,Sunny,4.2,Very Good,Wednesday
17-09-2025,17:21,Evening Snacks,12,Bhel Puri,2,30,30,60,UPI,Rainy,3.4,Average,Wednesday
17-09-2025,17:37,Evening Snacks,94,Idly,1,25,25,25,UPI,Cloudy,3.3,Average,Wednesday
17-09-2025,12:20,Lunch,53,Ice Cream,2,30,30,60,UPI,Sunny,3.8,Good,Wednesday
17-09-2025,17:35,Evening Snacks,15,Dosa,1,40,40,40,UPI,Rainy,4.4,Very Good,Wednesday
17-09-2025,12:13,Lunch,16,Juice,1,40,40,40,UPI,Sunny,3.8,Good,Wednesday
17-09-2025,18:54,Evening Snacks,98,Bhel Puri,3,30,30,90,UPI,Rainy,4.6,Excellent,Wednesday
17-09-2025,17:50,Evening Snacks,25,Idly,3,25,25,75,UPI,Rainy,4.5,Excellent,Wednesday
17-09-2025,12:26,Lunch,59,Bisibele Bath,1,25,25,25,Cash,Sunny,4.1,Good,Wednesday
17-09-2025,18:17,Evening Snacks,23,Dosa,1,40,40,40,UPI,Rainy,4.1,Good,Wednesday
17-09-2025,08:02,Breakfast,18,Dosa,2,30,30,60,UPI,Rainy,4.1,Good,Wednesday
17-09-2025,19:27,Evening Snacks,77,Coffee,1,15,15,15,UPI,Sunny,4.1,Good,Wednesday
17-09-2025,12:02,Lunch,90,Veg Biryani,1,50,50,50,UPI,Windy,3.9,Good,Wednesday
17-09-2025,18:29,Evening Snacks,95,French Fries,1,50,50,50,Cash,Cloudy,3.9,Good,Wednesday
17-09-2025,16:43,Evening Snacks,77,Coffee,3,30,30,90,UPI,Rainy,3.6,Average,Wednesday
17-09-2025,13:28,Lunch,100,Ice Cream,2,90,90,180,UPI,Sunny,3.1,Average,Wednesday
17-09-2025,12:58,Lunch,55,Tea,1,40,40,40,UPI,Sunny,4.4,Very Good,Wednesday
17-09-2025,16:09,Evening Snacks,28,Sandwich,1,45,45,45,UPI,Sunny,4.1,Good,Wednesday
17-09-2025,12:09,Lunch,19,Tea,1,45,45,45,UPI,Cloudy,4,Good,Wednesday
17-09-2025,18:48,Evening Snacks,62,Bisibele Bath,1,50,50,50,UPI,Rainy,4.2,Very Good,Wednesday
17-09-2025,15:35,Evening Snacks,8,Tea,3,40,40,120,UPI,Sunny,3.7,Good,Wednesday
17-09-2025,17:21,Evening Snacks,3,South Indian Thali,3,90,90,270,UPI,Cloudy,3.6,Average,Wednesday
17-09-2025,12:16,Lunch,44,Veg Biryani,1,30,30,30,UPI,Windy,3.9,Good,Wednesday
17-09-2025,13:50,Lunch,29,Tea,1,50,50,50,Cash,Sunny,4.5,Excellent,Wednesday
17-09-2025,18:13,Evening Snacks,3,Upma,1,30,30,30,UPI,Rainy,3.5,Average,Wednesday
17-09-2025,13:55,Lunch,99,South Indian Thali,3,12,12,36,Cash,Sunny,2.9,Average,Wednesday
17-09-2025,15:54,Evening Snacks,48,Pani Puri,1,50,50,50,UPI,Windy,3.8,Good,Wednesday
17-09-2025,16:39,Evening Snacks,23,Ice Cream,1,50,50,50,UPI,Sunny,4.5,Excellent,Wednesday
17-09-2025,13:47,Lunch,60,Juice,3,40,40,120,UPI,Sunny,3.3,Average,Wednesday
17-09-2025,08:05,Breakfast,66,Tea,1,25,25,25,UPI,Rainy,3.5,Average,Wednesday
17-09-2025,08:03,Breakfast,58,Chapati,1,70,70,70,UPI,Cloudy,4.1,Good,Wednesday
17-09-2025,14:00,Lunch,67,Tea,2,90,90,180,UPI,Sunny,5,Excellent,Wednesday
17-09-2025,16:06,Evening Snacks,58,French Fries,1,50,50,50,UPI,Rainy,3.5,Average,Wednesday
18-09-2025,12:03,Lunch,91,Fried Rice,1,30,30,30,UPI,Windy,3.4,Average,Thursday
18-09-2025,15:25,Evening Snacks,14,Juice,2,25,25,50,UPI,Sunny,4.1,Good,Thursday
18-09-2025,09:31,Breakfast,37,Bisibele Bath,1,50,50,50,UPI,Cloudy,4.5,Excellent,Thursday
18-09-2025,18:10,Evening Snacks,23,Ice Cream,3,50,50,150,UPI,Sunny,3.8,Good,Thursday
18-09-2025,17:06,Evening Snacks,45,Samosa,1,15,15,15,UPI,Rainy,3.4,Average,Thursday
18-09-2025,19:53,Evening Snacks,77,South Indian Thali,2,90,90,180,UPI,Sunny,4.2,Very Good,Thursday
18-09-2025,15:26,Evening Snacks,26,Juice,1,15,15,15,Cash,Sunny,4.2,Very Good,Thursday
18-09-2025,17:51,Evening Snacks,33,Dosa,2,40,40,80,UPI,Cloudy,4.7,Excellent,Thursday
18-09-2025,18:51,Evening Snacks,9,Idly,3,25,25,75,UPI,Rainy,4.3,Very Good,Thursday
